LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,MICHELLE WALKER,SANDRA MENDOZA,MICHAEL ALDAPA,MIGUEL SANTIAGO
28TH US CONGRESSIONAL,N,6044,POLLING PLACE,439,31,84,25,234
28TH US CONGRESSIONAL,N,0,VBM PORTION,309,27,57,28,136
28TH US CONGRESSIONAL,N,6044,TOTAL,748,58,141,53,370
34TH US CONGRESSIONAL,N,123644,POLLING PLACE,9794,886,2094,662,4605
34TH US CONGRESSIONAL,N,0,VBM PORTION,8042,876,1310,595,3485
34TH US CONGRESSIONAL,N,123644,TOTAL,17831,1762,3404,1257,8090
37TH US CONGRESSIONAL,N,2699,POLLING PLACE,195,24,42,12,88
37TH US CONGRESSIONAL,N,0,VBM PORTION,126,18,30,16,49
37TH US CONGRESSIONAL,N,2699,TOTAL,321,42,72,28,137
40TH US CONGRESSIONAL,N,14994,POLLING PLACE,916,51,214,37,516
40TH US CONGRESSIONAL,N,0,VBM PORTION,556,51,122,48,274
40TH US CONGRESSIONAL,N,14994,TOTAL,1471,102,336,85,790
