LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,LELAND YEE,DEREK CRESSMAN,DAVID CURTIS,ALEX PADILLA,PETE PETERSON,JEFFREY H DROBMAN,ROY ALLMOND,DAN SCHNUR
18TH ST SENATE,N,412533,POLLING PLACE,31735,1794,2794,806,13642,5744,1143,1493,1478
18TH ST SENATE,N,0,VBM PORTION,29333,2101,2241,646,11163,5465,1318,1393,1774
18TH ST SENATE,N,412533,TOTAL,61053,3895,5035,1452,24805,11209,2461,2886,3252
20TH ST SENATE,N,57852,POLLING PLACE,3541,219,322,67,1570,691,104,132,94
20TH ST SENATE,N,0,VBM PORTION,3425,296,222,58,1299,710,101,151,255
20TH ST SENATE,N,57852,TOTAL,6966,515,544,125,2869,1401,205,283,349
21ST ST SENATE,N,295641,POLLING PLACE,24416,956,936,428,5921,9021,693,2234,1867
21ST ST SENATE,N,0,VBM PORTION,28120,1629,1082,542,6180,9774,886,2264,2922
21ST ST SENATE,N,295641,TOTAL,52527,2585,2018,970,12101,18795,1579,4498,4789
22ND ST SENATE,N,402143,POLLING PLACE,28682,2774,1599,575,11232,6578,630,1210,1247
22ND ST SENATE,N,0,VBM PORTION,27543,3798,1172,432,8686,6339,839,1054,1880
22ND ST SENATE,N,402143,TOTAL,56212,6572,2771,1007,19918,12917,1469,2264,3127
23RD ST SENATE,N,30,POLLING PLACE,0,0,0,0,0,0,0,0,0
23RD ST SENATE,N,0,VBM PORTION,6,0,0,0,0,4,0,0,1
23RD ST SENATE,N,30,TOTAL,5,0,0,0,0,4,0,0,1
24TH ST SENATE,N,356351,POLLING PLACE,28761,1770,2682,929,15154,2930,894,559,833
24TH ST SENATE,N,0,VBM PORTION,21596,2489,1537,653,9487,2643,738,514,881
24TH ST SENATE,N,356351,TOTAL,50349,4259,4219,1582,24641,5573,1632,1073,1714
25TH ST SENATE,N,496236,POLLING PLACE,48828,2901,3639,1098,14890,15149,929,1930,2603
25TH ST SENATE,N,0,VBM PORTION,53257,3880,2595,1147,14619,15110,1421,1863,3541
25TH ST SENATE,N,496236,TOTAL,102064,6781,6234,2245,29509,30259,2350,3793,6144
26TH ST SENATE,N,595374,POLLING PLACE,71309,3969,8546,2052,20487,18136,2004,2110,4807
26TH ST SENATE,N,0,VBM PORTION,68061,5061,6106,1479,17675,17805,2118,2119,5715
26TH ST SENATE,N,595374,TOTAL,139348,9030,14652,3531,38162,35941,4122,4229,10522
27TH ST SENATE,N,347297,POLLING PLACE,33069,1896,2806,755,9313,9036,1288,1742,2568
27TH ST SENATE,N,0,VBM PORTION,36077,2647,2534,639,9523,9448,1535,1743,3206
27TH ST SENATE,N,347297,TOTAL,69136,4543,5340,1394,18836,18484,2823,3485,5774
29TH ST SENATE,N,87063,POLLING PLACE,6296,574,349,89,1762,1692,170,508,399
29TH ST SENATE,N,0,VBM PORTION,8041,1099,327,87,1842,2144,264,553,661
29TH ST SENATE,N,87063,TOTAL,14333,1673,676,176,3604,3836,434,1061,1060
30TH ST SENATE,N,452850,POLLING PLACE,38257,2602,4094,954,19387,3108,1477,743,1082
30TH ST SENATE,N,0,VBM PORTION,31389,3254,3309,691,13489,2877,1401,706,1219
30TH ST SENATE,N,452850,TOTAL,69626,5856,7403,1645,32876,5985,2878,1449,2301
32ND ST SENATE,N,443529,POLLING PLACE,35347,2077,2670,694,12768,9379,801,1728,1444
32ND ST SENATE,N,0,VBM PORTION,31444,2930,1939,530,9460,8361,884,1541,2069
32ND ST SENATE,N,443529,TOTAL,66772,5007,4609,1224,22228,17740,1685,3269,3513
33RD ST SENATE,N,389200,POLLING PLACE,29194,2418,2639,903,11543,4132,1343,1468,1209
33RD ST SENATE,N,0,VBM PORTION,24284,2455,1975,651,8364,4036,1143,1313,1359
33RD ST SENATE,N,389200,TOTAL,53466,4873,4614,1554,19907,8168,2486,2781,2568
34TH ST SENATE,N,43970,POLLING PLACE,7336,454,547,173,1701,1878,344,621,560
34TH ST SENATE,N,0,VBM PORTION,7698,532,400,108,1590,2243,278,588,821
34TH ST SENATE,N,43970,TOTAL,15033,986,947,281,3291,4121,622,1209,1381
35TH ST SENATE,N,443338,POLLING PLACE,36605,2890,2744,724,17111,5356,1429,1122,962
35TH ST SENATE,N,0,VBM PORTION,30609,3773,2138,509,11419,5189,1411,1129,1413
35TH ST SENATE,N,443338,TOTAL,67191,6663,4882,1233,28530,10545,2840,2251,2375
