LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,YES,NO
18TH ST SENATE,N,412533,POLLING PLACE,31735,19656,8447
18TH ST SENATE,N,0,VBM PORTION,29333,16470,8111
18TH ST SENATE,N,412533,TOTAL,61053,36126,16558
20TH ST SENATE,N,57852,POLLING PLACE,3541,1995,1114
20TH ST SENATE,N,0,VBM PORTION,3425,1809,1075
20TH ST SENATE,N,57852,TOTAL,6966,3804,2189
21ST ST SENATE,N,295641,POLLING PLACE,24416,13304,8787
21ST ST SENATE,N,0,VBM PORTION,28120,14063,9825
21ST ST SENATE,N,295641,TOTAL,52527,27367,18612
22ND ST SENATE,N,402143,POLLING PLACE,28682,16156,8879
22ND ST SENATE,N,0,VBM PORTION,27543,14151,8330
22ND ST SENATE,N,402143,TOTAL,56212,30307,17209
23RD ST SENATE,N,30,POLLING PLACE,0,0,0
23RD ST SENATE,N,0,VBM PORTION,6,2,2
23RD ST SENATE,N,30,TOTAL,5,2,2
24TH ST SENATE,N,356351,POLLING PLACE,28761,18253,6434
24TH ST SENATE,N,0,VBM PORTION,21596,12130,5465
24TH ST SENATE,N,356351,TOTAL,50349,30383,11899
25TH ST SENATE,N,496236,POLLING PLACE,48828,28465,14144
25TH ST SENATE,N,0,VBM PORTION,53257,26591,15329
25TH ST SENATE,N,496236,TOTAL,102064,55056,29473
26TH ST SENATE,N,595374,POLLING PLACE,71309,44169,17053
26TH ST SENATE,N,0,VBM PORTION,68061,37875,17534
26TH ST SENATE,N,595374,TOTAL,139348,82044,34587
27TH ST SENATE,N,347297,POLLING PLACE,33069,19563,9485
27TH ST SENATE,N,0,VBM PORTION,36077,19185,10136
27TH ST SENATE,N,347297,TOTAL,69136,38748,19621
29TH ST SENATE,N,87063,POLLING PLACE,6296,3392,2136
29TH ST SENATE,N,0,VBM PORTION,8041,3984,2670
29TH ST SENATE,N,87063,TOTAL,14333,7376,4806
30TH ST SENATE,N,452850,POLLING PLACE,38257,24942,6817
30TH ST SENATE,N,0,VBM PORTION,31389,17807,6422
30TH ST SENATE,N,452850,TOTAL,69626,42749,13239
32ND ST SENATE,N,443529,POLLING PLACE,35347,19878,11031
32ND ST SENATE,N,0,VBM PORTION,31444,15864,9987
32ND ST SENATE,N,443529,TOTAL,66772,35742,21018
33RD ST SENATE,N,389200,POLLING PLACE,29194,17143,8176
33RD ST SENATE,N,0,VBM PORTION,24284,13136,7693
33RD ST SENATE,N,389200,TOTAL,53466,30279,15869
34TH ST SENATE,N,43970,POLLING PLACE,7336,4011,2323
34TH ST SENATE,N,0,VBM PORTION,7698,3930,2510
34TH ST SENATE,N,43970,TOTAL,15033,7941,4833
35TH ST SENATE,N,443338,POLLING PLACE,36605,23182,8499
35TH ST SENATE,N,0,VBM PORTION,30609,16829,8415
35TH ST SENATE,N,443338,TOTAL,67191,40011,16914
