LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,GEORGE MCKENNA,HATTIE B MCFRAZIER,O O MANIGAULT,G HUDLEY-HAYES,RACHEL C JOHNSON,ALEX JOHNSON,SHERLETT H NEWBILL
33RD US CONGRESSIONAL,N,13259,POLLING PLACE,1349,431,46,86,80,32,203,107
33RD US CONGRESSIONAL,N,0,VBM PORTION,1206,366,43,48,83,53,128,98
33RD US CONGRESSIONAL,N,13259,TOTAL,2555,797,89,134,163,85,331,205
34TH US CONGRESSIONAL,N,6582,POLLING PLACE,598,207,16,37,37,22,124,50
34TH US CONGRESSIONAL,N,0,VBM PORTION,464,133,12,32,25,16,81,40
34TH US CONGRESSIONAL,N,6582,TOTAL,1062,340,28,69,62,38,205,90
37TH US CONGRESSIONAL,N,265030,POLLING PLACE,22953,8918,636,902,1435,664,5067,1986
37TH US CONGRESSIONAL,N,0,VBM PORTION,19209,6182,672,950,1073,767,3877,1434
37TH US CONGRESSIONAL,N,265030,TOTAL,42154,15100,1308,1852,2508,1431,8944,3420
43RD US CONGRESSIONAL,N,54096,POLLING PLACE,5180,2419,200,146,195,442,840,356
43RD US CONGRESSIONAL,N,0,VBM PORTION,3140,1147,160,129,144,321,564,179
43RD US CONGRESSIONAL,N,54096,TOTAL,8315,3566,360,275,339,763,1404,535
44TH US CONGRESSIONAL,N,19,POLLING PLACE,0,0,0,0,0,0,0,0
44TH US CONGRESSIONAL,N,0,VBM PORTION,1,0,0,0,0,1,0,0
44TH US CONGRESSIONAL,N,19,TOTAL,1,0,0,0,0,1,0,0
