LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,L ROYBAL-ALLARD,DAVID SANCHEZ
51ST STATE ASSEMBLY,N,34655,POLLING PLACE,2624,1443,569
51ST STATE ASSEMBLY,N,0,VBM PORTION,1199,820,254
51ST STATE ASSEMBLY,N,34655,TOTAL,3823,2263,823
53RD STATE ASSEMBLY,N,14994,POLLING PLACE,916,446,234
53RD STATE ASSEMBLY,N,0,VBM PORTION,556,310,171
53RD STATE ASSEMBLY,N,14994,TOTAL,1471,756,405
58TH STATE ASSEMBLY,N,90042,POLLING PLACE,7802,3855,2015
58TH STATE ASSEMBLY,N,0,VBM PORTION,4911,2501,1305
58TH STATE ASSEMBLY,N,90042,TOTAL,12710,6356,3320
59TH STATE ASSEMBLY,N,58868,POLLING PLACE,2731,1222,918
59TH STATE ASSEMBLY,N,0,VBM PORTION,1616,968,457
59TH STATE ASSEMBLY,N,58868,TOTAL,4345,2190,1375
63RD STATE ASSEMBLY,N,46195,POLLING PLACE,2374,1347,650
63RD STATE ASSEMBLY,N,0,VBM PORTION,1415,833,395
63RD STATE ASSEMBLY,N,46195,TOTAL,3787,2180,1045
