LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,JAMES B PIERCE,CAROL NAJERA
36TH STATE ASSEMBLY,N,191094,POLLING PLACE,15407,5145,7023
36TH STATE ASSEMBLY,N,0,VBM PORTION,16815,5651,7320
36TH STATE ASSEMBLY,N,191094,TOTAL,32214,10796,14343
38TH STATE ASSEMBLY,N,190731,POLLING PLACE,17405,5930,7149
38TH STATE ASSEMBLY,N,0,VBM PORTION,20435,6906,8001
38TH STATE ASSEMBLY,N,190731,TOTAL,37833,12836,15150
39TH STATE ASSEMBLY,N,198165,POLLING PLACE,13878,4520,6455
39TH STATE ASSEMBLY,N,0,VBM PORTION,12336,4270,5245
39TH STATE ASSEMBLY,N,198165,TOTAL,26207,8790,11700
41ST STATE ASSEMBLY,N,222609,POLLING PLACE,23275,9331,8301
41ST STATE ASSEMBLY,N,0,VBM PORTION,23720,8795,8128
41ST STATE ASSEMBLY,N,222609,TOTAL,46981,18126,16429
43RD STATE ASSEMBLY,N,255917,POLLING PLACE,23129,8437,7686
43RD STATE ASSEMBLY,N,0,VBM PORTION,26017,8665,7445
43RD STATE ASSEMBLY,N,255917,TOTAL,49142,17102,15131
44TH STATE ASSEMBLY,N,6055,POLLING PLACE,727,256,257
44TH STATE ASSEMBLY,N,0,VBM PORTION,770,252,255
44TH STATE ASSEMBLY,N,6055,TOTAL,1497,508,512
45TH STATE ASSEMBLY,N,249524,POLLING PLACE,22117,8561,7715
45TH STATE ASSEMBLY,N,0,VBM PORTION,24635,9220,8330
45TH STATE ASSEMBLY,N,249524,TOTAL,46747,17781,16045
46TH STATE ASSEMBLY,N,216288,POLLING PLACE,18180,6930,6697
46TH STATE ASSEMBLY,N,0,VBM PORTION,17354,6296,5988
46TH STATE ASSEMBLY,N,216288,TOTAL,35529,13226,12685
48TH STATE ASSEMBLY,N,214706,POLLING PLACE,15698,5072,7215
48TH STATE ASSEMBLY,N,0,VBM PORTION,14165,4962,5926
48TH STATE ASSEMBLY,N,214706,TOTAL,29858,10034,13141
49TH STATE ASSEMBLY,N,203626,POLLING PLACE,15560,5528,6084
49TH STATE ASSEMBLY,N,0,VBM PORTION,17066,6341,5751
49TH STATE ASSEMBLY,N,203626,TOTAL,32620,11869,11835
50TH STATE ASSEMBLY,N,305661,POLLING PLACE,35488,14302,9668
50TH STATE ASSEMBLY,N,0,VBM PORTION,32746,12990,8198
50TH STATE ASSEMBLY,N,305661,TOTAL,68227,27292,17866
51ST STATE ASSEMBLY,N,196553,POLLING PLACE,16118,5246,7304
51ST STATE ASSEMBLY,N,0,VBM PORTION,11247,3832,4677
51ST STATE ASSEMBLY,N,196553,TOTAL,27363,9078,11981
52ND STATE ASSEMBLY,N,57852,POLLING PLACE,3541,1155,1717
52ND STATE ASSEMBLY,N,0,VBM PORTION,3425,1247,1445
52ND STATE ASSEMBLY,N,57852,TOTAL,6966,2402,3162
53RD STATE ASSEMBLY,N,147381,POLLING PLACE,11344,3440,5016
53RD STATE ASSEMBLY,N,0,VBM PORTION,9033,3316,3197
53RD STATE ASSEMBLY,N,147381,TOTAL,20371,6756,8213
54TH STATE ASSEMBLY,N,272365,POLLING PLACE,26660,10339,8194
54TH STATE ASSEMBLY,N,0,VBM PORTION,24484,9625,6906
54TH STATE ASSEMBLY,N,272365,TOTAL,51129,19964,15100
55TH STATE ASSEMBLY,N,87062,POLLING PLACE,6296,2225,2499
55TH STATE ASSEMBLY,N,0,VBM PORTION,8041,2966,2774
55TH STATE ASSEMBLY,N,87062,TOTAL,14333,5191,5273
57TH STATE ASSEMBLY,N,231921,POLLING PLACE,17671,5580,8604
57TH STATE ASSEMBLY,N,0,VBM PORTION,16417,5517,7003
57TH STATE ASSEMBLY,N,231921,TOTAL,34078,11097,15607
58TH STATE ASSEMBLY,N,223386,POLLING PLACE,17159,5320,8082
58TH STATE ASSEMBLY,N,0,VBM PORTION,13873,4376,6011
58TH STATE ASSEMBLY,N,223386,TOTAL,31023,9696,14093
59TH STATE ASSEMBLY,N,166403,POLLING PLACE,9751,3075,3833
59TH STATE ASSEMBLY,N,0,VBM PORTION,5862,2056,2175
59TH STATE ASSEMBLY,N,166403,TOTAL,15607,5131,6008
62ND STATE ASSEMBLY,N,244226,POLLING PLACE,24035,8859,8393
62ND STATE ASSEMBLY,N,0,VBM PORTION,18070,6782,6108
62ND STATE ASSEMBLY,N,244226,TOTAL,42082,15641,14501
63RD STATE ASSEMBLY,N,189220,POLLING PLACE,11886,3776,5692
63RD STATE ASSEMBLY,N,0,VBM PORTION,9458,3295,4129
63RD STATE ASSEMBLY,N,189220,TOTAL,21337,7071,9821
64TH STATE ASSEMBLY,N,214026,POLLING PLACE,15392,5253,5833
64TH STATE ASSEMBLY,N,0,VBM PORTION,10750,4084,3968
64TH STATE ASSEMBLY,N,214026,TOTAL,26141,9337,9801
66TH STATE ASSEMBLY,N,275451,POLLING PLACE,33505,13341,10994
66TH STATE ASSEMBLY,N,0,VBM PORTION,35238,13453,11047
66TH STATE ASSEMBLY,N,275451,TOTAL,68731,26794,22041
70TH STATE ASSEMBLY,N,263185,POLLING PLACE,29154,9648,11370
70TH STATE ASSEMBLY,N,0,VBM PORTION,28904,9911,10978
70TH STATE ASSEMBLY,N,263185,TOTAL,58054,19559,22348
