date,system,city,state,county,cause,sub_cause,fatalities,injuries,propertydamage_(a),gross_barrels_spilled_(hazliq)_(b),net_barrels_lost_(hazliq)_(b)(c),value_of_product_lost_(d)
05/20/15,HL,GEORGE WEST,TX,LIVE OAK,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$32000,770,770,$30000
10/03/14,HL,EDNA,TX,JACKSON,NATURAL FORCE DAMAGE,LIGHTNING,0,0,$1500,34,34,$1500
06/23/14,HL,ORLA,TX,CULVERSON,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$1892,473,473,$1892
01/02/14,HL,RATLIFF CITY,OK,CARTER,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$2025,45,45,$2025
08/20/13,HL,MARYSVILLE,MI,ST. CLAIR,INCORRECT OPERATION,INCORRECT VALVE POSITION,0,0,$1000,12,12,$1000
08/09/13,GT,RUSTON,LA,JACKSON,MATERIAL/WELD/EQUIP FAILURE,MANUFACTURING-RELATED,0,0,$161400,N/A,N/A,$14700
05/29/13,HL,AURORA,CO,ARAPAHOE,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0,0,$540,0,0,$40
03/25/11,GG,WINNIE,TX,JEFFERSON,OTHER OUTSIDE FORCE DAMAGE,OTHER OUTSIDE FORCE DAMAGE,0,0,$41500,N/A,N/A,$40500
02/05/11,HL,BISHOP,TX,NUECES,NATURAL FORCE DAMAGE,TEMPERATURE,0,0,$115200,1000,995,$92000
10/01/09,GT,OFFSHORE GULF OF MEXICO,N/A,,ALL OTHER CAUSES,MISCELLANEOUS,0,0,$1440000,N/A,N/A,$240000
02/01/08,HL,PREMONT,TX,JIM WELLS,CORROSION,EXTERNAL,0,0,$6835,7,7,$335
01/23/08,HL,PREMONT,TX,JIM WELLS,CORROSION,EXTERNAL,0,0,$19000,200,200,$10000
03/15/07,HL,PREMONT,TX,JIM WELLS,CORROSION,EXTERNAL,0,0,$4765,129,129,$3265
08/05/06,GT,KILGORE,TX,RUSK,CORROSION,INTERNAL,0,0,$120996,N/A,N/A,$60996
05/12/06,GT,ZAPATA,TX,ZAPATA,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,$25883,N/A,N/A,$18390
04/01/06,GT,HENDERSON,TX,RUSK,CORROSION,INTERNAL,0,0,$172032,N/A,N/A,$52032
